acousticness,speechiness,valence,tempo,duration_ms,release_date,year,month
0.634,0.17,0.8370000000000001,98.143,330333,1982-01-01,1982,1
0.386,0.025,0.892,110.654,217733,1982-11-05,1982,11
0.0843,0.0237,0.643,105.711,202674,1982-06-18,1982,6
0.917,0.0318,0.078,124.49,241587,1982-01-01,1982,1
0.000197,0.0554,0.143,111.98,329747,1982-11-19,1982,11
0.028,0.0441,0.8079999999999999,146.0,239880,1982-01-01,1982,1
0.157,0.0377,0.362,80.234,304027,1982-01-01,1982,1
0.033,0.0351,0.961,141.75799999999995,216360,1982-11-19,1982,11
0.677,0.0269,0.168,97.817,186920,1982-06-21,1982,6
0.000922,0.0912,0.723,124.309,185080,1982-12-01,1982,12
0.00248,0.0319,0.6459999999999999,129.283,526800,1982-06-01,1982,6
2.17e-06,0.0729,0.338,149.809,109000,1982-05-21,1982,5
0.00823,0.0312,0.8759999999999999,90.326,284560,1982-01-01,1982,1
0.483,0.0434,0.321,118.921,200640,1982-03-23,1982,3
0.325,0.0304,0.225,145.023,246560,1983-01-01,1983,1
0.0473,0.0411,0.6890000000000001,65.384,156467,1983-04-11,1983,4
0.634,0.0301,0.478,82.833,201973,1983-01-01,1983,1
0.331,0.0274,0.135,137.726,276400,1983-04-11,1983,4
0.908,0.0401,0.036,79.399,250147,1983-01-01,1983,1
0.0255,0.0397,0.45,129.483,221893,1983-03-24,1983,3
0.157,0.0511,0.5710000000000001,118.912,220000,1983-04-17,1983,4
0.821,0.0479,0.309,124.392,247827,1983-05-01,1983,5
0.782,0.0346,0.8959999999999999,159.761,155067,1983-03-28,1983,3
0.0265,0.0621,0.7490000000000001,119.852,159987,1983-07-01,1983,7
0.00923,0.0549,0.787,121.785,468867,1983-01-01,1983,1
0.378,0.0366,0.5539999999999999,144.493,264227,1983-09-24,1983,9
7.79e-05,0.0311,0.485,106.525,218560,1983-08-15,1983,8
0.000819,0.0491,0.8079999999999999,176.31400000000005,192653,1983-11-01,1983,11
0.194,0.0282,0.941,103.568,173960,1983-09-06,1983,9
0.296,0.0569,0.511,116.498,333947,1983-02-28,1983,2
0.0831,0.0349,0.913,126.994,208493,1983-07-01,1983,7
0.0961,0.0297,0.621,122.08,253240,1983-06-15,1983,6
0.00352,0.0476,0.92,159.67600000000004,321933,1983-04-20,1983,4
0.00572,0.386,0.0636,98.525,113893,1983-01-01,1983,1
0.0808,0.0513,0.691,111.856,365573,1983-01-01,1983,1
0.00771,0.1689999999999999,0.412,171.097,256667,1983-08-07,1983,8
0.0272,0.0364,0.925,126.644,289733,1983-07-26,1983,7
1.4499999999999992e-05,0.0505,0.75,153.135,266947,1983-06-04,1983,6
0.989,0.0413,0.282,64.32600000000001,230133,1983-01-01,1983,1
0.7979999999999999,0.078,0.62,110.076,236733,1983-07-13,1983,7
0.603,0.0298,0.274,75.561,228333,1983-10-18,1983,10
0.0377,0.0691,0.685,91.587,182800,1983-01-01,1983,1
0.878,0.0362,0.194,118.869,195373,1983-01-01,1983,1
0.000515,0.0327,0.467,117.832,254502,1983-01-20,1983,1
0.0839,0.0291,0.883,111.638,230000,1983-07-01,1983,7
0.0311,0.0733,0.397,123.716,291600,1983-01-01,1983,1
0.182,0.0299,0.8170000000000001,140.775,164827,1983-07-22,1983,7
0.0507,0.054,0.911,151.134,220920,1983-02-28,1983,2
0.00513,0.03,0.511,121.998,223800,1983-01-04,1983,1
0.5820000000000001,0.034,0.0853,119.708,358440,1983-09-18,1983,9
0.6559999999999999,0.0657,0.175,143.543,276173,1983-01-01,1983,1
0.434,0.122,0.528,80.691,214640,1983-08-10,1983,8
0.238,0.0285,0.321,94.905,317200,1983-04-01,1983,4
0.984,0.0803,0.976,128.994,122107,1983-09-01,1983,9
0.00103,0.0465,0.5920000000000001,127.416,193720,1983-07-01,1983,7
0.106,0.0293,0.687,125.22,301293,1983-06-10,1983,6
0.399,0.18,0.393,138.184,243653,1983-11-21,1983,11
0.366,0.0329,0.0961,95.152,366933,1983-01-01,1983,1
0.0547,0.035,0.968,123.506,193780,1983-01-01,1983,1
0.0186,0.0425,0.41,79.611,455267,1983-08-07,1983,8
0.00787,0.05,0.935,124.647,422693,1983-06-01,1983,6
0.108,0.0365,0.534,120.177,256333,1983-06-30,1983,6
0.102,0.0293,0.936,99.444,299893,1983-01-01,1983,1
0.0717,0.0352,0.908,119.949,210507,1983-11-21,1983,11
0.879,0.0287,0.125,96.925,163600,1983-01-01,1983,1
0.0222,0.0634,0.7959999999999999,124.876,251893,1983-11-21,1983,11
0.927,0.0375,0.0501,75.218,262187,1983-01-01,1983,1
0.807,0.084,0.715,121.192,189040,1983-02-19,1983,2
0.0236,0.141,0.726,99.794,388707,1983-09-06,1983,9
0.000143,0.0501,0.7240000000000001,129.121,326507,1983-12-03,1983,12
0.00606,0.0331,0.349,118.657,259867,1983-01-01,1983,1
0.314,0.0898,0.838,177.378,223800,1983-03-14,1983,3
0.94,0.0801,0.6809999999999999,118.047,188333,1983-09-01,1983,9
0.0391,0.0409,0.897,168.741,244947,1983-11-14,1983,11
0.379,0.0587,0.893,90.33,230227,1983-09-01,1983,9
0.216,0.0405,0.62,128.375,223600,1983-07-27,1983,7
0.815,0.0598,0.736,79.661,353733,1983-01-01,1983,1
0.256,0.0621,0.516,138.41899999999998,401160,1983-01-04,1983,1
0.541,0.0519,0.7340000000000001,95.889,378067,1983-01-01,1983,1
0.106,0.0286,0.601,117.108,208949,1983-01-01,1983,1
0.0998,0.0505,0.279,143.079,226200,1983-08-20,1983,8
0.6759999999999999,0.0296,0.288,91.502,237533,1983-01-01,1983,1
0.529,0.0315,0.5329999999999999,105.004,303020,1983-05-06,1983,5
0.000176,0.052,0.7709999999999999,84.791,245467,1983-01-01,1983,1
0.627,0.0309,0.341,109.426,297640,1984-09-17,1984,9
